SV	MA_1_R_1_1_1	MA_1_R_1_2_2	MA_1_R_1_3_3	MA_1_R_1_4_4	MA_1_R_1_5_5	MA_1_R_1_6_6	MA_1_R_1_8_7	MA_2_R_2_1_8	MA_2_R_2_2_9	MA_2_R_2_3_10	MA_2_R_2_4_11	MA_2_R_2_5_12	MA_2_R_2_6_13	MA_2_R_2_7_14	MA_2_R_2_8_15	MA_3_R_3_1_16	MA_3_R_3_2_17	MA_3_R_3_3_18	MA_3_R_3_4_19	MA_3_R_3_5_20	MA_3_R_3_6_21	MA_3_R_3_7_22	MA_3_R_3_8_23	MA_3_R_3_9_24	MA_4_R_4_1_25	MA_4_R_4_4_28	MA_4_R_4_6_30	MA_4_R_4_8_32	MA_4_R_4_9_33	MA_5_R_5_1_34	MA_5_R_5_2_35	MA_5_R_5_3_36	MA_5_R_5_4_37	MA_5_R_5_6_39	MA_5_R_5_7_40	MA_5_R_5_8_41	MA_6_R_6_1_42	MA_6_R_6_2_43	MA_6_R_6_3_44	MA_6_R_6_4_45	MA_6_R_6_5_46	MA_6_R_6_6_47	MA_6_R_6_7_48	MA_6_R_6_8_49	MW_1_R_1_3_52	MW_1_R_1_5_54	MW_1_R_1_6_55	MW_1_R_1_7_56	MW_1_R_1_8_57	MW_2_R_2_1_58	MW_2_R_2_2_59	MW_2_R_2_3_60	MW_2_R_2_4_61	MW_2_R_2_5_62	MW_2_R_2_6_63	MW_2_R_2_7_64	MW_2_R_2_8_65	MW_3_R_3_1_66	MW_3_R_3_2_67	MW_3_R_3_3_68	MW_3_R_3_4_69	MW_3_R_3_5_70	MW_3_R_3_6_71	MW_3_R_3_7_72	MW_3_R_3_8_73	MW_4_R_4_1_74	MW_4_R_4_2_75	MW_4_R_4_3_76	MW_4_R_4_4_77	MW_4_R_4_5_78	MW_4_R_4_6_79	MW_4_R_4_7_80	MW_4_R_4_8_81	MW_5_R_5_1_82	MW_5_R_5_2_83	MW_5_R_5_3_84	MW_5_R_5_4_85	MW_5_R_5_5_86	MW_5_R_5_6_87	MW_5_R_5_7_88	MW_5_R_5_8_89	MW_6_R_6_1_90	MW_6_R_6_2_91	MW_6_R_6_3_92	MW_6_R_6_4_93	MW_6_R_6_5_94	MW_6_R_6_6_95	MW_6_R_6_7_96	MW_6_R_6_8_97
DENOVO141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO4255	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO4641	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO2555	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	1	1	3	0	0	1	3	5	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
DENOVO4980	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO2890	0	0	0	0	1	4	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	4	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
DENOVO3136	0	0	2	0	2	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DENOVO2637	0	0	2	1	2	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
DENOVO4019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DENOVO4944	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO2134	0	1	0	0	6	6	4	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
DENOVO4247	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO2804	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	1	0	0	0
DENOVO2469	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
DENOVO2270	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	3	4	0	1	2	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	0	0	1	1	0	0	0	0	0	0	0	1	2	1	0	0
DENOVO3548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
DENOVO4129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO4867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	2	1	1	1	1	1	1	1	2	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	3	0	2	0	3	1	1	0
DENOVO3429	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
DENOVO2265	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	1	0	1	0	0	0	2	1	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO2499	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	4	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	1	1	2	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	2
DENOVO2690	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	3	0	0	0	0	0	0	0	1	0	3	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DENOVO3097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO4417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO4030	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
DENOVO2608	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO1130	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	5	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	3	1	0	0	0	3	0	7	0	0	1	0	1	2	0	0	0	2	0	0	0	0	0	0	0	2	6	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
